CUST_ID,INITIALS,CUST_NAME,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATE,COUNTRY,PIN_NO,MOBILE_NUMBER,EMAIL_ID,PAN,GENDER,BIRTH_DATE,AGE,CUST_TYPE,KYC_STATUS,DELIVERY_CHANNEL,RECORD_INSERT_DATE,PROCESSED_FLAG,PROCESSED_DATE,CHEQUE_NO,EFFECT_DATE,POL_NUM_TXT,REG_NO,ENGINE_NO,CHASSIS_NO,COVERNOTE_NO,PROPOSAL_NO,ENDORSEMENT_EFF_DATE,DOC_ID,VENDOR_PRIORITY,VENDOR_NAME,TELEPHONE_NO,NOMINEE_NAME,RELATIONSHIP,POLICY_NO,E_POLICY_NO,ISSUED_DATE,MAKER,MODEL_NO,BODY_TYPE,MANUFACTURE_YEAR,SEATING_CAPACITY,PREMIUM_AMOUNT,RECEIPT_DATE
2818,S,Siya,Oregon,Oregon,Oregon,Oregon,Bihar,India,155233,901098375,Siya16@rediff.co.in,Siy229S,Transgender,17/09/2006,16,Loyal ,CustomerDueDiligence,courier,17/09/2006,FALSE,17/09/2006,972710024,17/09/2006,852,2141,3859,4771,6340,5078,17/07/1991,45,4,DriStickDecalCorp,612593,Siya,MARRID,9639,6126,26/04/1999, ACS ,5704,All,2002,7,106987,28/10/1991
3365,S,Suraj,Missouri,Missouri,Missouri,Missouri,Jharkhand,Oman,843309,41117355,Suraj16@yahoo.com,Sur298S,Transgender,16/03/1991,16,Potential ,CustomerIdentificationProgram,G-Mail,16/03/1991,FALSE,16/03/1991,843712354,16/03/1991,373,1824,3807,3428,1973,1588,05/09/2003,15,2,AuthenticStreeSignsInc,612230,Suraj,MARRID,8407,3819,26/07/2000, ACS ,5837,All,2002,7,251193,14/07/2009
3001,S,Suraj,Nagpur,Nagpur,Nagpur,Nagpur,UP,Peru,875532,533389170,Suraj53@rediff.co.in,Sur238S,Male,29/08/2003,53,Impulsive,CustomerDueDiligence,courier,29/08/2003,FALSE,29/08/2003,421733312,29/08/2003,509,2971,4716,2824,3463,4676,22/10/1996,9,1,BroderBros,303842,Suraj,SINGLE,3421,2658,31/12/1997,RTO,9858,All,2004,1,741590,31/05/1996
5773,S,Sachin,Ohio,Ohio,Ohio,Ohio,UP,Peru,280446,729053749,Sachin16@gmail.com,Sac823S,Female,02/04/1998,16,Loyal ,CustomerIdentificationProgram,courier,02/04/1998,TRUE,02/04/1998,650386404,02/04/1998,800,4637,3254,4825,9381,5524,27/01/1991,49,4,AlmaMaterLLC,182123,Sachin,MARRID,663,1030,05/04/1993,Maruti.pvt,1226,All,2002,4,992282,24/09/1994
6356,P,Parul,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Jharkhand,India,285296,434047432,Parul45@rediff.co.in,Par731P,Transgender,27/07/1999,45,Potential ,CustomerIdentificationProgram,courier,27/07/1999,FALSE,27/07/1999,927191725,27/07/1999,983,4655,4375,2507,9021,173,11/07/1998,45,4,AlmaMaterLLC,802790,Parul,SINGLE,8214,850,12/03/2008,RTO,7308,All,1996,10,132676,19/10/1992
8913,S,Smith,Bombay,Bombay,Bombay,Bombay,Kerala,Afghanistan,992176,877378180,Smith16@yahoo.com,Smi676S,Male,28/12/2001,16,Loyal ,CustomerIdentificationProgram,G-Mail,28/12/2001,TRUE,28/12/2001,843219107,28/12/2001,904,2470,2143,3221,9515,4498,17/05/1990,40,4,AuthenticStreeSignsInc,913646,Smith,MARRID,3730,8572,16/07/2008,Maruti.pvt,4874,All,2010,7,256219,24/09/2000
7941,P,Parul,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Goa,Afghanistan,825781,328919561,Parul15@gmail.com,Par972P,Female,24/09/1995,15,Impulsive,CustomerIdentificationProgram,courier,24/09/1995,FALSE,24/09/1995,249057202,24/09/1995,525,1613,3757,4647,3620,7701,20/07/1990,42,4,BroderBros,693191,Parul,SINGLE,996,9340,12/04/2003,Maruti.pvt,4100,All,2013,4,579086,13/02/1995
4281,P,Parul,Missouri,Missouri,Missouri,Missouri,UP,Brazil,133871,195004509,Parul55@yahoo.com,Par146P,Male,11/07/2008,55,Loyal ,OngoingMonitoring,G-Mail,11/07/2008,TRUE,11/07/2008,488012588,11/07/2008,444,4578,2451,3590,9197,5101,21/12/2000,24,4,ImprintInc,402059,Parul,SINGLE,7334,649,18/05/2003,Maruti.pvt,7069,All,1995,3,171213,31/05/2008
6728,S,Subba,Missouri,Missouri,Missouri,Missouri,UP,Pakistan,815283,734887485,Subba27@yahoo.com,Sub915S,Female,28/09/1994,27,Potential ,CustomerDueDiligence,G-Mail,28/09/1994,TRUE,28/09/1994,214138666,28/09/1994,968,4350,3750,3095,2619,3474,26/09/1999,41,1,DriStickDecalCorp,213275,Subba,MARRID,535,700,20/07/1994,Maruti.pvt,1674,All,2009,3,120548,20/04/1997
2074,S,Smith,Bombay,Bombay,Bombay,Bombay,Gujarat,Albania,795903,914712653,Smith17@gmail.com,Smi912S,Female,05/03/1992,17,Potential ,OngoingMonitoring,G-Mail,05/03/1992,TRUE,05/03/1992,909278797,05/03/1992,367,3837,4444,3737,4349,2432,16/07/1992,32,2,AuthenticStreeSignsInc,542733,Smith,MARRID,132,342,11/12/2005,sinoploxpvt,3121,All,1995,9,743500,24/05/2008
7062,N,Neeraj,Bhopal,Bhopal,Bhopal,Bhopal,Jharkhand,Afghanistan,133561,678527989,Neeraj48@rediff.co.in,Nee560N,Transgender,30/03/1992,48,New ,OngoingMonitoring,courier,30/03/1992,FALSE,30/03/1992,135621044,30/03/1992,320,2023,4661,3956,7140,816,30/12/2009,6,2,ClubColorsBuyer,902658,Neeraj,MARRID,880,6661,21/02/2000,RTA,2929,All,1999,9,783947,05/11/2004
1079,N,Neeraj,Bhopal,Bhopal,Bhopal,Bhopal,Jharkhand,Afghanistan,513618,893619483,Neeraj26@rediff.co.in,Nee881N,Male,16/09/1999,26,Potential ,CustomerDueDiligence,courier,16/09/1999,TRUE,16/09/1999,707810184,16/09/1999,262,4284,4796,2829,9870,500,20/04/1991,35,4,ClubColorsBuyer,802065,Neeraj,SINGLE,5959,3086,26/03/2004,Maruti.pvt,5439,All,2000,10,447304,01/01/1997
5753,S,Smith,Oregon,Oregon,Oregon,Oregon,UP,Oman,972176,27673693,Smith36@gmail.com,Smi143S,Transgender,06/09/2006,36,Impulsive,CustomerDueDiligence,G-Mail,06/09/2006,FALSE,06/09/2006,342034468,06/09/2006,935,4166,2021,3864,7613,7415,11/08/1996,43,3,AlmaMaterLLC,672803,Smith,MARRID,9506,2259,12/06/1994,RTO,8605,All,2001,2,206409,02/10/1996
7716,S,Smith,maysur,maysur,maysur,maysur,UP,Peru,766006,304443217,Smith41@rediff.co.in,Smi701S,Male,31/05/2002,41,Loyal ,OngoingMonitoring,G-Mail,31/05/2002,FALSE,31/05/2002,179784171,31/05/2002,606,4270,2614,2203,3394,7745,21/03/2003,21,1,AuthenticStreeSignsInc,552917,Smith,SINGLE,9750,6159,13/04/2008,sinoploxpvt,6425,All,2002,11,944975,29/06/1990
7898,T,Tesla,Houston,Houston,Houston,Houston,Jharkhand,Pakistan,813320,222526357,Tesla21@rediff.co.in,Tes122T,Transgender,02/12/2003,21,Impulsive,OngoingMonitoring,courier,02/12/2003,FALSE,02/12/2003,720204625,02/12/2003,584,3339,2987,2208,8161,8535,17/07/1996,4,3,ImprintInc,282040,Tesla,MARRID,9250,7768,25/05/1997,Maruti.pvt,8134,All,2010,4,395631,26/08/1996
9250,N,Nikhil,maysur,maysur,maysur,maysur,Jharkhand,Albania,976300,393622993,Nikhil21@gmail.com,Nik467N,Transgender,29/07/2009,21,Impulsive,CustomerDueDiligence,courier,29/07/2009,TRUE,29/07/2009,296318823,29/07/2009,478,2427,3588,3910,556,6742,17/12/1997,20,1,AuthenticStreeSignsInc,752178,Nikhil,SINGLE,8189,7244,22/03/1991,RTA,9358,All,2004,2,86011,17/02/1994
6179,A,Abhishek,Missouri,Missouri,Missouri,Missouri,Bihar,Brazil,374796,125515512,Abhishek42@yahoo.com,Abh777A,Female,02/10/1991,42,Impulsive,CustomerIdentificationProgram,courier,02/10/1991,FALSE,02/10/1991,775037179,02/10/1991,891,1294,2860,2505,7504,1266,03/05/1996,35,3,BroderBros,163726,Abhishek,MARRID,8886,4102,24/07/1990,sinoploxpvt,2490,All,2010,5,904601,12/01/2002
6074,N,Neeraj,pune,pune,pune,pune,Gujarat,Brazil,963845,3908122,Neeraj29@yahoo.com,Nee183N,Female,14/02/2009,29,Potential ,CustomerDueDiligence,G-Mail,14/02/2009,FALSE,14/02/2009,348017589,14/02/2009,571,4661,3626,4115,899,3934,21/01/2001,17,3,AlmaMaterLLC,793832,Neeraj,SINGLE,6912,1886,03/05/1993,sinoploxpvt,2927,All,2018,3,494523,24/02/2001
4414,K,Kapil,Missouri,Missouri,Missouri,Missouri,Andhra Pradesh,India,838713,875605482,Kapil57@yahoo.com,Kap329K,Transgender,26/06/1997,57,Impulsive,CustomerDueDiligence,courier,26/06/1997,TRUE,26/06/1997,365389782,26/06/1997,490,1786,4109,2099,7261,3058,07/08/1996,9,2,BroderBros,382041,Kapil,SINGLE,627,2424,15/03/2004,RTO,1437,All,1992,11,383113,11/01/1991
8579,V,Vinay,Houston,Houston,Houston,Houston,Goa,Brazil,556329,168662164,Vinay29@yahoo.com,Vin869V,Female,13/10/1998,29,Impulsive,CustomerIdentificationProgram,G-Mail,13/10/1998,TRUE,13/10/1998,975855124,13/10/1998,573,4171,2081,3377,6262,8837,13/01/2002,34,3,AuthenticStreeSignsInc,243957,Vinay,SINGLE,3717,7852,17/02/1990,RTA,7234,All,2004,3,196554,11/09/1994
