POLICY_NO,POLICY_NAME,RECEIPT_DATE,PAYMENT_MODE,CHEQUE_NO,CHEQUE_DATE,CHEQUE_AMT,EXCESS_PREMIUM_PAID,PREMIUM_AMT,DEPOSIT_AMT,SERVICE_TAX,EDU_CESS,TOTAL_PREMIUM,TOTAL_FUND_VALUE,PAYABLE_BY,PREMIUM_PAY_FREQUENCY,PREMIUM_PAYMENT,ANNUAL_PREMIUM,POLICY_STATUS,REASON,REMERK,DUE_DATE,NEXT_PREMIUM_DUE_DATE,TOT_PREMIUM,LIFE_ASSURED_NAME,CUSTOMER_ID,RECEIPT_NO,BASE_PLAN_PRODUCT_NAME,BASE_PREMIUM_PAID,BASE_PREMIUM_PAID_TAX,BASE_PREMIUM_DUE,BASE_PREMIUM_TAX_SECTION,RIDER_NAME_1,RIDER_PREMIUM_PAID_1,RIDER_PREMIUM_PAID_1_TAX,RIDER_PREMIUM_DUE_1,RIDER_TAX_SECTION_1,PROCESSED_FLAG,PROCESSED_DATE,INSER_DT_TM
1,HealthSuraksha,27/01/1991,email,102487107,25/09/2019,2137,19850,13308,10082,758,122,33158,221882,HeartBeat,half-yearly,85577,1026924,PREMIUM,Personal-liberty,Please-pay-your-installment,17925,19/12/2020,98885,Raja,9478,6039,Car-Insurance,37262,2018,22262,80CCC,Critical-illness-rider,24357,-65643,19357,50BC,TRUE,09/11/2020,14/02/2020
2,LifePayMoneyBack,09/07/1996,email,534947697,07/09/2019,4069,16392,16614,18965,196,150,33006,268930,LifePayMoneyBack,half-yearly,398197,4778364,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18147,07/09/2020,414811,Shubham,7829,1865,Life-Cover,29962,3475,14962,80CCC,Critical-illness-rider,21734,-68266,16734,150CB,FALSE,23/12/2020,14/10/2020
3,HealthSuraksha,20/08/1994,cash,656113797,12/08/2019,1539,12177,18454,11122,954,197,30631,122316,HeartBeat,yearly,308576,3702912,PREMIUM,Health,Its Good,18202,30/12/2020,327030,Sona,646,7520,Life-Cover,49638,4651,34638,120CC,Term-rider,10225,-79775,5225,150CB,FALSE,16/01/2020,10/07/2020
4,HeartBeat,28/08/2011,online,668906375,14/12/2019,6069,12502,19567,4794,1177,113,32069,110449,HeartBeat,half-yearly,196428,2357136,PREMIUM,Health,Please-pay-your-installment,18057,28/11/2020,215995,Raja,8815,441,Property-Insurance,46198,2023,31198,120CC,Critical-illness-rider,46251,-43749,41251,50BC,TRUE,02/04/2020,03/04/2020
5,iHealthPlan,13/05/2000,email,615732719,02/08/2019,6399,12150,14787,2962,586,153,26937,82202,HeartBeat,half-yearly,348135,4177620,PREMIUM,educational ,Its Good,17967,27/12/2020,362922,Shubham,5258,1238,Car-Insurance,26508,1536,11508,80BB,Term-rider,12180,-77820,7180,150CB,TRUE,20/06/2020,16/09/2020
6,LifePayMoneyBack,06/12/1995,online,411641807,03/11/2019,9510,12259,14805,5885,1038,134,27064,164716,iHealthPlan,quarterly ,301099,3613188,NON-PREMIUM,Health,Its Good,18088,23/07/2020,315904,Raja,8790,7078,Health-Insurance,49154,2761,34154,80BB,Accidental-death-benefit-rider,24279,-65721,19279,50BC,TRUE,15/12/2020,17/07/2020
7,LifePayMoneyBack,06/05/1991,online,377682962,25/09/2019,9761,10098,19746,19916,206,169,29844,61722,iHealthPlan,yearly,131707,1580484,PREMIUM,educational ,Its Good,18254,01/01/2020,151453,Raja,6034,6545,Health-Insurance,29375,2757,14375,120CC,Accidental-death-benefit-rider,34941,-55059,29941,80CCC,TRUE,03/08/2020,27/06/2020
8,LifePayMoneyBack,05/05/1996,online,330487337,29/06/2019,8105,16713,19536,3840,1166,102,36249,78694,HealthSuraksha,yearly,130004,1560048,PREMIUM,Personal-liberty,Please-pay-your-installment,18185,24/06/2020,149540,Raja,1237,8670,Health-Insurance,28802,2175,13802,80BB,Disability-rider,28086,-61914,23086,80CCC,FALSE,21/02/2020,29/11/2020
9,HealthSuraksha,09/05/2007,online,767271058,16/04/2019,8997,15544,10036,8472,1699,122,25580,243579,HealthSuraksha,yearly,489233,5870796,NON-PREMIUM,educational ,Its Good,17911,16/08/2020,499269,Raja,4360,7346,Property-Insurance,38194,1960,23194,80BB,Critical-illness-rider,16684,-73316,11684,80CCC,TRUE,26/12/2020,06/03/2020
10,HeartBeat,19/04/1995,cash,792317207,06/11/2019,2484,19368,15886,6660,507,144,35254,322509,LifePayMoneyBack,half-yearly,470916,5650992,PREMIUM,educational ,Please-pay-your-installment,17996,03/07/2020,486802,Shubham,1662,2298,Life-Cover,43176,4850,28176,120CC,Term-rider,43613,-46387,38613,80CCC,TRUE,24/04/2020,13/02/2020
11,HealthSuraksha,27/02/2011,cash,160832625,01/04/2019,9366,12693,14679,2295,1292,189,27372,415525,LifePayMoneyBack,quarterly ,143334,1720008,NON-PREMIUM,educational ,Its Good,18017,17/11/2020,158013,Sona,3777,3049,Life-Cover,39006,4532,24006,80CCC,Critical-illness-rider,24909,-65091,19909,150CB,FALSE,10/05/2020,26/07/2020
12,HeartBeat,30/11/2011,email,103859355,08/01/2019,7350,19542,19486,17903,1567,125,39028,49027,LifePayMoneyBack,quarterly ,481797,5781564,PREMIUM,Personal-liberty,Its Good,18190,05/03/2020,501283,Surendra,8683,9625,Property-Insurance,39986,2938,24986,80BB,Critical-illness-rider,48383,-41617,43383,80CCC,FALSE,26/05/2020,14/03/2020
13,LifePayMoneyBack,02/01/2000,cash,250154016,17/07/2019,6839,15492,13061,17545,515,119,28553,111319,iHealthPlan,yearly,222594,2671128,NON-PREMIUM,Personal-liberty,Its Good,17921,22/07/2020,235655,Shubham,634,557,Life-Cover,39879,4958,24879,120CC,Term-rider,40674,-49326,35674,80CCC,TRUE,09/07/2020,31/03/2020
14,HeartBeat,05/12/2014,email,675628874,25/02/2019,1229,18265,10563,6318,1972,151,28828,135844,LifePayMoneyBack,half-yearly,418414,5020968,PREMIUM,educational ,Its Good,18047,28/01/2020,428977,Surendra,335,9560,Health-Insurance,37293,2653,22293,80CCC,Critical-illness-rider,10299,-79701,5299,50BC,FALSE,03/07/2020,08/06/2020
15,LifePayMoneyBack,21/07/2012,online,199774600,29/06/2019,1343,16388,16277,16563,1056,155,32665,188724,LifePayMoneyBack,quarterly ,119973,1439676,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,18043,27/08/2020,136250,Raja,7018,3885,Property-Insurance,45157,2347,30157,80CCC,Disability-rider,34785,-55215,29785,50BC,TRUE,01/09/2020,11/06/2020
16,iHealthPlan,28/11/2005,email,759991257,06/09/2019,6049,16540,14630,18752,629,163,31170,123760,LifePayMoneyBack,quarterly ,392905,4714860,PREMIUM,Health,Please-pay-your-installment,18112,03/05/2020,407535,Sona,9027,1490,Car-Insurance,37919,2614,22919,120CC,Term-rider,10910,-79090,5910,50BC,FALSE,15/03/2020,27/06/2020
17,LifePayMoneyBack,11/01/2006,online,472710976,06/09/2019,9006,11778,16963,16498,165,151,28741,385172,LifePayMoneyBack,quarterly ,127346,1528152,PREMIUM,Health,Its Good,18112,23/09/2020,144309,Surendra,8010,8094,Health-Insurance,23623,4988,8623,120CC,Critical-illness-rider,38181,-51819,33181,50BC,FALSE,25/05/2020,05/09/2020
18,HeartBeat,23/07/2011,online,755479069,26/10/2019,7081,13316,19070,5984,283,174,32386,323915,HeartBeat,quarterly ,143654,1723848,PREMIUM,Personal-liberty,Its Good,18073,13/11/2020,162724,Sona,4310,7653,Life-Cover,43666,4058,28666,80CCC,Accidental-death-benefit-rider,28121,-61879,23121,80CCC,TRUE,19/02/2020,14/10/2020
19,LifePayMoneyBack,03/01/1990,cash,198994075,28/11/2019,1877,18345,13329,16759,307,179,31674,332515,LifePayMoneyBack,half-yearly,202084,2425008,NON-PREMIUM,Personal-liberty,Please-pay-your-installment,17943,25/07/2020,215413,Shubham,2454,8219,Car-Insurance,39265,1858,24265,120CC,Term-rider,20160,-69840,15160,80CCC,FALSE,04/12/2020,16/07/2020
20,LifePayMoneyBack,28/05/2017,email,510861047,22/09/2019,1253,18452,15306,12766,1868,182,33758,360767,LifePayMoneyBack,quarterly ,58354,700248,NON-PREMIUM,educational ,Please-pay-your-installment,18255,02/11/2020,73660,Raja,9840,265,Car-Insurance,32320,4717,17320,80BB,Term-rider,18949,-71051,13949,150CB,TRUE,10/04/2020,01/09/2020
21,HealthSuraksha,18/03/1999,cash,393838043,25/11/2019,3319,10727,15399,19204,1758,104,26126,197159,HeartBeat,yearly,450981,5411772,NON-PREMIUM,Health,Please-pay-your-installment,18104,22/03/2020,466380,Sona,2204,9927,Life-Cover,27522,1363,12522,120CC,Accidental-death-benefit-rider,19994,-70006,14994,150CB,FALSE,22/11/2020,14/03/2020
22,HealthSuraksha,09/10/2004,email,951848483,29/07/2019,4569,18284,17565,10706,350,185,35849,421804,iHealthPlan,half-yearly,95192,1142304,PREMIUM,Personal-liberty,Please-pay-your-installment,17907,29/03/2020,112757,Raja,348,4716,Car-Insurance,20704,4901,5704,120CC,Accidental-death-benefit-rider,43451,-46549,38451,80CCC,TRUE,08/03/2020,12/05/2020
23,iHealthPlan,22/05/1998,cash,260318463,21/05/2019,7123,17536,15120,5405,1785,116,32656,414402,HealthSuraksha,half-yearly,206545,2478540,PREMIUM,Health,Please-pay-your-installment,18054,22/04/2020,221665,Sourabh,57,5806,Property-Insurance,46903,2504,31903,80BB,Term-rider,17178,-72822,12178,50BC,FALSE,16/01/2020,17/04/2020
